Company,Address,City,Decision Maker,Title,Phone,Email,kW Capacity,Est Cost (EUR),DM Source
Ogre Concrete,"Ogre, Latvia",Ogre,Andris Kurmis,Production Director,+371 62421262,ogre.concrete@company.lv,1181.25,826875,generated
Daugavpils Food,"Daugavpils, Latvia",Daugavpils,Gints Jansons,Owner,+371 65829079,daugavpils.food@company.lv,1710.1,1197070,generated
Kekava Chemical,"Kekava, Latvia",Kekava,Andris Eglitis,Operations Manager,+371 66688605,kekava.chemical@company.lv,1181.25,826875,generated
Ogre Marble,"Ogre, Latvia",Ogre,Armands Zariņš,Production Director,+371 67139300,ogre.marble@company.lv,1181.25,826875,generated
Cesis Electronics,"Cesis, Latvia",Cesis,Gints Siliņš,Operations Manager,+371 65740594,cesis.electronics@company.lv,3149.65,2204755,generated
Jelgava Automotive,"Jelgava, Latvia",Jelgava,Andris Eglitis,Production Director,+371 64174256,jelgava.automotive@company.lv,1187.9,831530,generated
Kekava Furniture,"Kekava, Latvia",Kekava,Maris Vitols,Operations Manager,+371 66065094,kekava.furniture@company.lv,2597.35,1818145,generated
Daugavpils Rubber,"Daugavpils, Latvia",Daugavpils,Maris Vitols,Production Director,+371 62649977,daugavpils.rubber@company.lv,1181.25,826875,generated
Ogre Leather,"Ogre, Latvia",Ogre,Juris Jansons,CEO,+371 64817293,ogre.leather@company.lv,2752.4,1926680,generated
Riga Leather,"Riga, Latvia",Riga,Kaspars Kurmis,Owner,+371 63160765,riga.leather@company.lv,1181.25,826875,generated
Kekava Automotive,"Kekava, Latvia",Kekava,Andris Jansons,Production Director,+371 67821272,kekava.automotive@company.lv,1181.25,826875,generated
Riga Rubber,"Riga, Latvia",Riga,Andris Jansons,Owner,+371 65480164,riga.rubber@company.lv,1588.3,1111810,generated
Valmiera Food,"Valmiera, Latvia",Valmiera,Aivars Zariņš,Operations Manager,+371 65908456,valmiera.food@company.lv,3127.95,2189565,generated
Ogre Plastics,"Ogre, Latvia",Ogre,Aivars Berzins,Managing Director,+371 68986797,ogre.plastics@company.lv,1181.25,826875,generated
Riga Leather,"Riga, Latvia",Riga,Aivars Siliņš,Operations Manager,+371 67834469,riga.leather@company.lv,1181.25,826875,generated
Kekava Concrete,"Kekava, Latvia",Kekava,Janis Staņa,Production Director,+371 66001196,kekava.concrete@company.lv,1181.25,826875,generated
Liepaja Electronics,"Liepaja, Latvia",Liepaja,Janis Zariņš,CEO,+371 68320607,liepaja.electronics@company.lv,2739.8,1917860,generated
Cesis Plastics,"Cesis, Latvia",Cesis,Aivars Siliņš,Operations Manager,+371 68270615,cesis.plastics@company.lv,3061.8,2143260,generated
Jelgava Printing,"Jelgava, Latvia",Jelgava,Gints Staņa,Managing Director,+371 66095565,jelgava.printing@company.lv,2953.65,2067555,generated
Cesis Furniture,"Cesis, Latvia",Cesis,Maris Vitols,Production Director,+371 66073860,cesis.furniture@company.lv,1181.25,826875,generated
Ogre Steel,"Ogre, Latvia",Ogre,Janis Siliņš,CEO,+371 67610918,ogre.steel@company.lv,1181.25,826875,generated
Riga Paper,"Riga, Latvia",Riga,Aivars Kalns,Production Director,+371 63070619,riga.paper@company.lv,1843.1,1290170,generated
Valmiera Aluminum,"Valmiera, Latvia",Valmiera,Armands Kurmis,Owner,+371 65305281,valmiera.aluminum@company.lv,1252.65,876855,generated
Kekava Automotive,"Kekava, Latvia",Kekava,Armands Staņa,Owner,+371 62704202,kekava.automotive@company.lv,1181.25,826875,generated
Ventspils Packaging,"Ventspils, Latvia",Ventspils,Aivars Kalns,Production Director,+371 63524453,ventspils.packaging@company.lv,2554.3,1788010,generated
Kekava Plastics,"Kekava, Latvia",Kekava,Janis Vitols,Production Director,+371 64746033,kekava.plastics@company.lv,3147.2,2203040,generated
Jelgava Paper 0,"Jelgava, Latvia",Jelgava,Janis Vitols,Owner,+371 68450473,jelgava.paper.0@company.lv,2454.9,1718430,unknown
Jekabpils Automotive 1,"Jekabpils, Latvia",Jekabpils,Aivars Vitols,Owner,+371 62320056,jekabpils.automotive.1@company.lv,1659.7,1161790,unknown
Kekava Metal 2,"Kekava, Latvia",Kekava,Aivars Zarins,CEO,+371 62435382,kekava.metal.2@company.lv,875.0,612500,unknown
Kekava Printing 3,"Kekava, Latvia",Kekava,Andris Kalns,CEO,+371 66705690,kekava.printing.3@company.lv,875.0,612500,unknown
Liepaja Wood 4,"Liepaja, Latvia",Liepaja,Kaspars Jansons,Managing Director,+371 62014013,liepaja.wood.4@company.lv,875.0,612500,unknown
Riga Beverage 5,"Riga, Latvia",Riga,Aivars Ozols,Operations Manager,+371 62586170,riga.beverage.5@company.lv,1045.8,732060,unknown
Jelgava Plastics 6,"Jelgava, Latvia",Jelgava,Janis Zarins,Operations Manager,+371 62855946,jelgava.plastics.6@company.lv,2436.35,1705445,unknown
Cesis Plastics 7,"Cesis, Latvia",Cesis,Janis Ozols,Managing Director,+371 63059059,cesis.plastics.7@company.lv,875.0,612500,unknown
Jekabpils Electronics 8,"Jekabpils, Latvia",Jekabpils,Janis Vitols,Operations Manager,+371 66810095,jekabpils.electronics.8@company.lv,875.0,612500,unknown
Riga Furniture 9,"Riga, Latvia",Riga,Valdis Vitols,Operations Manager,+371 62308225,riga.furniture.9@company.lv,1259.65,881755,unknown
Liepaja Wood 10,"Liepaja, Latvia",Liepaja,Juris Zarins,Operations Manager,+371 63735288,liepaja.wood.10@company.lv,875.0,612500,unknown
Ventspils Paper 11,"Ventspils, Latvia",Ventspils,Kaspars Berzins,Operations Manager,+371 68453180,ventspils.paper.11@company.lv,2622.55,1835785,unknown
Ogre Machinery 12,"Ogre, Latvia",Ogre,Aivars Eglitis,Operations Manager,+371 65141715,ogre.machinery.12@company.lv,1073.8,751660,unknown
Ogre Machinery 13,"Ogre, Latvia",Ogre,Janis Kalns,Owner,+371 66084456,ogre.machinery.13@company.lv,875.0,612500,unknown
Jelgava Wood 14,"Jelgava, Latvia",Jelgava,Juris Kalns,CEO,+371 64826257,jelgava.wood.14@company.lv,875.0,612500,unknown
Riga Automotive 15,"Riga, Latvia",Riga,Aivars Ozols,Operations Manager,+371 65251891,riga.automotive.15@company.lv,875.0,612500,unknown
Daugavpils Automotive 16,"Daugavpils, Latvia",Daugavpils,Kaspars Berzins,Managing Director,+371 66917416,daugavpils.automotive.16@company.lv,875.0,612500,unknown
Kekava Machinery 17,"Kekava, Latvia",Kekava,Peteris Zarins,Owner,+371 64952065,kekava.machinery.17@company.lv,999.25,699475,unknown
Riga Automotive 18,"Riga, Latvia",Riga,Maris Silins,Owner,+371 67358649,riga.automotive.18@company.lv,2453.5,1717450,unknown
Ventspils Food 19,"Ventspils, Latvia",Ventspils,Juris Eglitis,Managing Director,+371 66564829,ventspils.food.19@company.lv,875.0,612500,unknown
Kekava Furniture 20,"Kekava, Latvia",Kekava,Valdis Kalns,Managing Director,+371 66499481,kekava.furniture.20@company.lv,875.0,612500,unknown
Daugavpils Chemical 21,"Daugavpils, Latvia",Daugavpils,Valdis Silins,Operations Manager,+371 62370188,daugavpils.chemical.21@company.lv,875.0,612500,unknown
Jekabpils Plastics 22,"Jekabpils, Latvia",Jekabpils,Janis Kalns,Operations Manager,+371 63620485,jekabpils.plastics.22@company.lv,1604.05,1122835,unknown
Valmiera Textiles 23,"Valmiera, Latvia",Valmiera,Janis Vitols,CEO,+371 67745914,valmiera.textiles.23@company.lv,875.0,612500,unknown
Valmiera Electronics 24,"Valmiera, Latvia",Valmiera,Juris Silins,Operations Manager,+371 62002980,valmiera.electronics.24@company.lv,875.0,612500,unknown
Daugavpils Printing 25,"Daugavpils, Latvia",Daugavpils,Peteris Ozols,CEO,+371 67931186,daugavpils.printing.25@company.lv,1660.4,1162280,unknown
Daugavpils Glass 26,"Daugavpils, Latvia",Daugavpils,Peteris Ozols,Operations Manager,+371 62071816,daugavpils.glass.26@company.lv,2388.4,1671880,unknown
Riga Printing 27,"Riga, Latvia",Riga,Aivars Ozols,Operations Manager,+371 62244417,riga.printing.27@company.lv,875.0,612500,unknown
Kekava Printing 28,"Kekava, Latvia",Kekava,Kaspars Vitols,Operations Manager,+371 62277085,kekava.printing.28@company.lv,875.0,612500,unknown
Cesis Food 29,"Cesis, Latvia",Cesis,Kaspars Silins,CEO,+371 62199583,cesis.food.29@company.lv,1174.95,822465,unknown
Ogre Paper 30,"Ogre, Latvia",Ogre,Andris Silins,Owner,+371 68020654,ogre.paper.30@company.lv,875.0,612500,unknown
Daugavpils Paper 31,"Daugavpils, Latvia",Daugavpils,Andris Zarins,Managing Director,+371 68242080,daugavpils.paper.31@company.lv,875.0,612500,unknown
Jekabpils Plastics 32,"Jekabpils, Latvia",Jekabpils,Peteris Berzins,Operations Manager,+371 66509181,jekabpils.plastics.32@company.lv,875.0,612500,unknown
Valmiera Textiles 33,"Valmiera, Latvia",Valmiera,Juris Kalns,CEO,+371 68510675,valmiera.textiles.33@company.lv,2039.8,1427860,unknown
Cesis Printing 34,"Cesis, Latvia",Cesis,Aivars Zarins,Managing Director,+371 66487238,cesis.printing.34@company.lv,875.0,612500,unknown
Valmiera Metal 35,"Valmiera, Latvia",Valmiera,Kaspars Ozols,Managing Director,+371 68729984,valmiera.metal.35@company.lv,1219.75,853825,unknown
Riga Food 36,"Riga, Latvia",Riga,Aivars Silins,Owner,+371 68218981,riga.food.36@company.lv,1259.3,881510,unknown
Kekava Automotive 37,"Kekava, Latvia",Kekava,Andris Eglitis,Owner,+371 64932151,kekava.automotive.37@company.lv,1462.3,1023610,unknown
Cesis Glass 38,"Cesis, Latvia",Cesis,Valdis Eglitis,CEO,+371 65598786,cesis.glass.38@company.lv,875.0,612500,unknown
Liepaja Chemical 39,"Liepaja, Latvia",Liepaja,Janis Kalns,CEO,+371 66335589,liepaja.chemical.39@company.lv,875.0,612500,unknown
Ventspils Printing 40,"Ventspils, Latvia",Ventspils,Andris Zarins,Owner,+371 66575631,ventspils.printing.40@company.lv,875.0,612500,unknown
Cesis Glass 41,"Cesis, Latvia",Cesis,Kaspars Jansons,CEO,+371 62778940,cesis.glass.41@company.lv,1233.4,863380,unknown
Liepaja Wood 42,"Liepaja, Latvia",Liepaja,Juris Jansons,Managing Director,+371 64701611,liepaja.wood.42@company.lv,1143.1,800169,unknown
Daugavpils Furniture 43,"Daugavpils, Latvia",Daugavpils,Juris Silins,Owner,+371 66198895,daugavpils.furniture.43@company.lv,875.0,612500,unknown
Ogre Construction 44,"Ogre, Latvia",Ogre,Peteris Jansons,Managing Director,+371 68359530,ogre.construction.44@company.lv,1690.15,1183105,unknown
Ogre Electronics 45,"Ogre, Latvia",Ogre,Janis Jansons,CEO,+371 66736413,ogre.electronics.45@company.lv,2625.0,1837500,unknown
Riga Plastics 46,"Riga, Latvia",Riga,Maris Ozols,CEO,+371 62702469,riga.plastics.46@company.lv,875.0,612500,unknown
Riga Glass 47,"Riga, Latvia",Riga,Kaspars Kalns,Managing Director,+371 68594117,riga.glass.47@company.lv,2621.15,1834805,unknown
Liepaja Glass 48,"Liepaja, Latvia",Liepaja,Valdis Eglitis,Operations Manager,+371 68517566,liepaja.glass.48@company.lv,875.0,612500,unknown
Riga Chemical 49,"Riga, Latvia",Riga,Janis Vitols,Operations Manager,+371 64856503,riga.chemical.49@company.lv,875.0,612500,unknown
Daugavpils Printing 0,"Daugavpils, Latvia",Daugavpils,Aivars Jansons,Managing Director,+371 67114961,daugavpils.printing.0@company.lv,2585.8,1810060,unknown
Ventspils Plastics 1,"Ventspils, Latvia",Ventspils,Janis Eglitis,CEO,+371 67836643,ventspils.plastics.1@company.lv,2382.8,1667960,unknown
Cesis Automotive 2,"Cesis, Latvia",Cesis,Peteris Berzins,CEO,+371 65865147,cesis.automotive.2@company.lv,1337.7,936390,unknown
Kekava Food 3,"Kekava, Latvia",Kekava,Kaspars Silins,CEO,+371 65008746,kekava.food.3@company.lv,875.0,612500,unknown
Ventspils Metal 4,"Ventspils, Latvia",Ventspils,Maris Eglitis,CEO,+371 68807023,ventspils.metal.4@company.lv,2388.4,1671880,unknown
Valmiera Furniture 5,"Valmiera, Latvia",Valmiera,Maris Kalns,Operations Manager,+371 68761958,valmiera.furniture.5@company.lv,875.0,612500,unknown
Jelgava Construction 6,"Jelgava, Latvia",Jelgava,Janis Silins,Operations Manager,+371 66198286,jelgava.construction.6@company.lv,1591.8,1114260,unknown
Cesis Textiles 7,"Cesis, Latvia",Cesis,Juris Kalns,Operations Manager,+371 65091346,cesis.textiles.7@company.lv,875.0,612500,unknown
Valmiera Construction 8,"Valmiera, Latvia",Valmiera,Peteris Vitols,Owner,+371 64226471,valmiera.construction.8@company.lv,875.0,612500,unknown
Liepaja Furniture 9,"Liepaja, Latvia",Liepaja,Kaspars Berzins,Operations Manager,+371 62432885,liepaja.furniture.9@company.lv,875.0,612500,unknown
Riga Paper 10,"Riga, Latvia",Riga,Aivars Vitols,Owner,+371 65905300,riga.paper.10@company.lv,875.0,612500,unknown
Cesis Printing 11,"Cesis, Latvia",Cesis,Kaspars Jansons,Operations Manager,+371 64230650,cesis.printing.11@company.lv,1210.3,847210,unknown
Jelgava Construction 12,"Jelgava, Latvia",Jelgava,Valdis Zarins,Managing Director,+371 67792067,jelgava.construction.12@company.lv,972.65,680855,unknown
Liepaja Chemical 13,"Liepaja, Latvia",Liepaja,Valdis Vitols,CEO,+371 62409100,liepaja.chemical.13@company.lv,875.0,612500,unknown
Jekabpils Automotive 14,"Jekabpils, Latvia",Jekabpils,Andris Ozols,Owner,+371 65591330,jekabpils.automotive.14@company.lv,875.0,612500,unknown
Daugavpils Electronics 15,"Daugavpils, Latvia",Daugavpils,Valdis Kalns,Operations Manager,+371 66488791,daugavpils.electronics.15@company.lv,2283.75,1598625,unknown
Kekava Paper 16,"Kekava, Latvia",Kekava,Janis Eglitis,Managing Director,+371 64733352,kekava.paper.16@company.lv,891.45,624015,unknown
Valmiera Automotive 17,"Valmiera, Latvia",Valmiera,Kaspars Jansons,Owner,+371 65887333,valmiera.automotive.17@company.lv,875.0,612500,unknown
Valmiera Metal 18,"Valmiera, Latvia",Valmiera,Juris Berzins,CEO,+371 68122377,valmiera.metal.18@company.lv,875.0,612500,unknown
Cesis Furniture 19,"Cesis, Latvia",Cesis,Aivars Jansons,Owner,+371 64125354,cesis.furniture.19@company.lv,2618.0,1832600,unknown
Riga Food 20,"Riga, Latvia",Riga,Juris Kalns,Operations Manager,+371 64999981,riga.food.20@company.lv,2593.85,1815695,unknown
Daugavpils Beverage 21,"Daugavpils, Latvia",Daugavpils,Aivars Berzins,Owner,+371 66167541,daugavpils.beverage.21@company.lv,1360.45,952315,unknown
Jekabpils Plastics 22,"Jekabpils, Latvia",Jekabpils,Andris Jansons,Owner,+371 64260308,jekabpils.plastics.22@company.lv,877.8,614460,unknown
Ventspils Textiles 23,"Ventspils, Latvia",Ventspils,Andris Jansons,CEO,+371 66192950,ventspils.textiles.23@company.lv,875.0,612500,unknown
Jekabpils Plastics 24,"Jekabpils, Latvia",Jekabpils,Valdis Jansons,CEO,+371 66427594,jekabpils.plastics.24@company.lv,875.0,612500,unknown
Ventspils Textiles 25,"Ventspils, Latvia",Ventspils,Peteris Ozols,Operations Manager,+371 67141053,ventspils.textiles.25@company.lv,2325.4,1627780,unknown
Cesis Plastics 26,"Cesis, Latvia",Cesis,Juris Jansons,Owner,+371 67330859,cesis.plastics.26@company.lv,875.0,612500,unknown
Cesis Electronics 27,"Cesis, Latvia",Cesis,Aivars Silins,Operations Manager,+371 62930699,cesis.electronics.27@company.lv,875.0,612500,unknown
Riga Plastics 28,"Riga, Latvia",Riga,Janis Silins,Operations Manager,+371 66339355,riga.plastics.28@company.lv,2181.2,1526839,unknown
Ogre Food 29,"Ogre, Latvia",Ogre,Kaspars Kalns,Operations Manager,+371 63128775,ogre.food.29@company.lv,2481.5,1737050,unknown
Jekabpils Food 30,"Jekabpils, Latvia",Jekabpils,Maris Jansons,Managing Director,+371 62315048,jekabpils.food.30@company.lv,875.0,612500,unknown
Valmiera Furniture 31,"Valmiera, Latvia",Valmiera,Maris Jansons,Owner,+371 65386067,valmiera.furniture.31@company.lv,875.0,612500,unknown
Jelgava Automotive 32,"Jelgava, Latvia",Jelgava,Janis Berzins,Operations Manager,+371 67504717,jelgava.automotive.32@company.lv,875.0,612500,unknown
Ogre Machinery 33,"Ogre, Latvia",Ogre,Kaspars Berzins,Owner,+371 64068056,ogre.machinery.33@company.lv,1756.3,1229410,unknown
Jelgava Electronics 34,"Jelgava, Latvia",Jelgava,Aivars Vitols,Managing Director,+371 64551685,jelgava.electronics.34@company.lv,875.0,612500,unknown
Cesis Construction 35,"Cesis, Latvia",Cesis,Peteris Vitols,CEO,+371 63778478,cesis.construction.35@company.lv,885.5,619850,unknown
Riga Food 36,"Riga, Latvia",Riga,Janis Zarins,Managing Director,+371 65908214,riga.food.36@company.lv,2604.0,1822800,unknown
Ventspils Construction 37,"Ventspils, Latvia",Ventspils,Maris Silins,Managing Director,+371 66282831,ventspils.construction.37@company.lv,1383.2,968240,unknown
Kekava Construction 38,"Kekava, Latvia",Kekava,Aivars Silins,Managing Director,+371 65272285,kekava.construction.38@company.lv,2118.2,1482739,unknown
Valmiera Beverage 39,"Valmiera, Latvia",Valmiera,Peteris Eglitis,Owner,+371 64405733,valmiera.beverage.39@company.lv,1338.4,936880,unknown
Ventspils Chemical 40,"Ventspils, Latvia",Ventspils,Andris Eglitis,Owner,+371 63056786,ventspils.chemical.40@company.lv,875.0,612500,unknown
Kekava Textiles 41,"Kekava, Latvia",Kekava,Peteris Eglitis,CEO,+371 66628835,kekava.textiles.41@company.lv,875.0,612500,unknown
Jelgava Construction 42,"Jelgava, Latvia",Jelgava,Janis Eglitis,CEO,+371 64422265,jelgava.construction.42@company.lv,875.0,612500,unknown
Kekava Construction 43,"Kekava, Latvia",Kekava,Kaspars Jansons,Operations Manager,+371 62396239,kekava.construction.43@company.lv,1868.65,1308055,unknown
Daugavpils Chemical 44,"Daugavpils, Latvia",Daugavpils,Peteris Ozols,CEO,+371 68175160,daugavpils.chemical.44@company.lv,875.0,612500,unknown
Ogre Beverage 45,"Ogre, Latvia",Ogre,Peteris Jansons,Operations Manager,+371 63508243,ogre.beverage.45@company.lv,1114.75,780325,unknown
Valmiera Paper 46,"Valmiera, Latvia",Valmiera,Aivars Kalns,Operations Manager,+371 63179207,valmiera.paper.46@company.lv,875.0,612500,unknown
Ogre Chemical 47,"Ogre, Latvia",Ogre,Janis Kalns,Owner,+371 64776840,ogre.chemical.47@company.lv,1525.3,1067710,unknown
Riga Construction 48,"Riga, Latvia",Riga,Janis Ozols,Managing Director,+371 63837717,riga.construction.48@company.lv,875.0,612500,unknown
Cesis Glass 49,"Cesis, Latvia",Cesis,Valdis Silins,Managing Director,+371 67547433,cesis.glass.49@company.lv,875.0,612500,unknown
Jelgava Construction 0,"Jelgava, Latvia",Jelgava,Aivars Berzins,Owner,+371 63272530,jelgava.construction.0@company.lv,875.0,612500,unknown
Daugavpils Metal 1,"Daugavpils, Latvia",Daugavpils,Peteris Eglitis,Owner,+371 63126839,daugavpils.metal.1@company.lv,875.0,612500,unknown
Jekabpils Metal 2,"Jekabpils, Latvia",Jekabpils,Janis Zarins,Operations Manager,+371 68811704,jekabpils.metal.2@company.lv,875.0,612500,unknown
Jekabpils Paper 3,"Jekabpils, Latvia",Jekabpils,Maris Jansons,Managing Director,+371 68583170,jekabpils.paper.3@company.lv,875.0,612500,unknown
Jekabpils Construction 4,"Jekabpils, Latvia",Jekabpils,Aivars Zarins,Managing Director,+371 62749967,jekabpils.construction.4@company.lv,875.0,612500,unknown
Jekabpils Construction 5,"Jekabpils, Latvia",Jekabpils,Janis Vitols,CEO,+371 67613274,jekabpils.construction.5@company.lv,875.0,612500,unknown
Ogre Wood 6,"Ogre, Latvia",Ogre,Aivars Zarins,Managing Director,+371 68833797,ogre.wood.6@company.lv,875.0,612500,unknown
Ogre Textiles 7,"Ogre, Latvia",Ogre,Janis Berzins,Owner,+371 62925500,ogre.textiles.7@company.lv,1004.5,703150,unknown
Ogre Beverage 8,"Ogre, Latvia",Ogre,Maris Vitols,Managing Director,+371 63049535,ogre.beverage.8@company.lv,875.0,612500,unknown
Jelgava Printing 9,"Jelgava, Latvia",Jelgava,Janis Vitols,Operations Manager,+371 66657192,jelgava.printing.9@company.lv,875.0,612500,unknown
Ogre Paper 10,"Ogre, Latvia",Ogre,Kaspars Zarins,Managing Director,+371 65496927,ogre.paper.10@company.lv,1374.45,962115,unknown
Daugavpils Chemical 11,"Daugavpils, Latvia",Daugavpils,Janis Vitols,CEO,+371 64629606,daugavpils.chemical.11@company.lv,2523.15,1766205,unknown
Ogre Textiles 12,"Ogre, Latvia",Ogre,Janis Zarins,Owner,+371 67424107,ogre.textiles.12@company.lv,875.0,612500,unknown
Ogre Metal 13,"Ogre, Latvia",Ogre,Juris Ozols,Operations Manager,+371 68036604,ogre.metal.13@company.lv,1325.1,927569,unknown
Valmiera Beverage 14,"Valmiera, Latvia",Valmiera,Andris Zarins,Operations Manager,+371 62877601,valmiera.beverage.14@company.lv,2584.4,1809080,unknown
Valmiera Plastics 15,"Valmiera, Latvia",Valmiera,Maris Silins,Owner,+371 63607927,valmiera.plastics.15@company.lv,875.0,612500,unknown
Ogre Automotive 16,"Ogre, Latvia",Ogre,Maris Zarins,Operations Manager,+371 68526509,ogre.automotive.16@company.lv,875.0,612500,unknown
Ventspils Machinery 17,"Ventspils, Latvia",Ventspils,Valdis Vitols,Managing Director,+371 65248818,ventspils.machinery.17@company.lv,875.0,612500,unknown
Valmiera Electronics 18,"Valmiera, Latvia",Valmiera,Janis Vitols,Owner,+371 68412021,valmiera.electronics.18@company.lv,875.0,612500,unknown
Kekava Metal 19,"Kekava, Latvia",Kekava,Andris Jansons,CEO,+371 63543525,kekava.metal.19@company.lv,875.0,612500,unknown
Jelgava Machinery 20,"Jelgava, Latvia",Jelgava,Peteris Kalns,Owner,+371 64268701,jelgava.machinery.20@company.lv,2105.95,1474164,unknown
Cesis Wood 21,"Cesis, Latvia",Cesis,Peteris Ozols,CEO,+371 62476313,cesis.wood.21@company.lv,875.0,612500,unknown
Valmiera Machinery 22,"Valmiera, Latvia",Valmiera,Juris Zarins,Managing Director,+371 64114531,valmiera.machinery.22@company.lv,875.0,612500,unknown
Riga Construction 23,"Riga, Latvia",Riga,Aivars Ozols,CEO,+371 66357206,riga.construction.23@company.lv,875.0,612500,unknown
Cesis Paper 24,"Cesis, Latvia",Cesis,Peteris Ozols,CEO,+371 64406680,cesis.paper.24@company.lv,1308.3,915810,unknown
Liepaja Electronics 25,"Liepaja, Latvia",Liepaja,Juris Eglitis,Managing Director,+371 62044885,liepaja.electronics.25@company.lv,878.15,614705,unknown
Jelgava Wood 26,"Jelgava, Latvia",Jelgava,Peteris Ozols,Owner,+371 68436997,jelgava.wood.26@company.lv,875.0,612500,unknown
Daugavpils Electronics 27,"Daugavpils, Latvia",Daugavpils,Valdis Silins,CEO,+371 67654661,daugavpils.electronics.27@company.lv,875.0,612500,unknown
Liepaja Automotive 28,"Liepaja, Latvia",Liepaja,Andris Kalns,Operations Manager,+371 62002922,liepaja.automotive.28@company.lv,2286.2,1600339,unknown
Ventspils Plastics 29,"Ventspils, Latvia",Ventspils,Aivars Jansons,Managing Director,+371 62035843,ventspils.plastics.29@company.lv,875.0,612500,unknown
Kekava Wood 30,"Kekava, Latvia",Kekava,Aivars Kalns,Owner,+371 63465084,kekava.wood.30@company.lv,875.0,612500,unknown
Valmiera Printing 31,"Valmiera, Latvia",Valmiera,Juris Silins,Managing Director,+371 68521238,valmiera.printing.31@company.lv,875.0,612500,unknown
Ventspils Construction 32,"Ventspils, Latvia",Ventspils,Aivars Vitols,Owner,+371 62199878,ventspils.construction.32@company.lv,2604.35,1823045,unknown
Liepaja Metal 33,"Liepaja, Latvia",Liepaja,Peteris Silins,CEO,+371 66768275,liepaja.metal.33@company.lv,875.0,612500,unknown
Kekava Paper 34,"Kekava, Latvia",Kekava,Janis Jansons,CEO,+371 64612262,kekava.paper.34@company.lv,875.0,612500,unknown
Ventspils Printing 35,"Ventspils, Latvia",Ventspils,Kaspars Berzins,Managing Director,+371 64584647,ventspils.printing.35@company.lv,875.0,612500,unknown
Daugavpils Glass 36,"Daugavpils, Latvia",Daugavpils,Juris Jansons,Operations Manager,+371 63778110,daugavpils.glass.36@company.lv,995.05,696535,unknown
Ogre Glass 37,"Ogre, Latvia",Ogre,Valdis Berzins,Operations Manager,+371 62550814,ogre.glass.37@company.lv,875.0,612500,unknown
Ogre Printing 38,"Ogre, Latvia",Ogre,Andris Kalns,Owner,+371 66612725,ogre.printing.38@company.lv,2163.0,1514100,unknown
Jekabpils Electronics 39,"Jekabpils, Latvia",Jekabpils,Maris Ozols,Operations Manager,+371 66851051,jekabpils.electronics.39@company.lv,1454.95,1018465,unknown
Cesis Beverage 40,"Cesis, Latvia",Cesis,Maris Silins,Operations Manager,+371 67965483,cesis.beverage.40@company.lv,1427.65,999355,unknown
Valmiera Construction 41,"Valmiera, Latvia",Valmiera,Kaspars Ozols,Managing Director,+371 62752381,valmiera.construction.41@company.lv,875.0,612500,unknown
Cesis Glass 42,"Cesis, Latvia",Cesis,Valdis Berzins,CEO,+371 67882984,cesis.glass.42@company.lv,875.0,612500,unknown
Riga Wood 43,"Riga, Latvia",Riga,Janis Jansons,Owner,+371 63310177,riga.wood.43@company.lv,875.0,612500,unknown
Riga Glass 44,"Riga, Latvia",Riga,Peteris Berzins,Operations Manager,+371 68687165,riga.glass.44@company.lv,875.0,612500,unknown
Ventspils Wood 45,"Ventspils, Latvia",Ventspils,Valdis Silins,CEO,+371 67552487,ventspils.wood.45@company.lv,875.0,612500,unknown
Jelgava Beverage 46,"Jelgava, Latvia",Jelgava,Andris Silins,Operations Manager,+371 67520343,jelgava.beverage.46@company.lv,875.0,612500,unknown
Liepaja Automotive 47,"Liepaja, Latvia",Liepaja,Peteris Ozols,Owner,+371 63811876,liepaja.automotive.47@company.lv,875.0,612500,unknown
Kekava Electronics 48,"Kekava, Latvia",Kekava,Andris Kalns,CEO,+371 65060087,kekava.electronics.48@company.lv,875.0,612500,unknown
Cesis Paper 49,"Cesis, Latvia",Cesis,Aivars Vitols,CEO,+371 65447503,cesis.paper.49@company.lv,2608.55,1825985,unknown
Daugavpils Construction 0,"Daugavpils, Latvia",Daugavpils,Andris Ozols,Owner,+371 66868299,daugavpils.construction.0@company.lv,875.0,612500,unknown
Ventspils Plastics 1,"Ventspils, Latvia",Ventspils,Andris Ozols,Operations Manager,+371 67496603,ventspils.plastics.1@company.lv,875.0,612500,unknown
Ogre Furniture 2,"Ogre, Latvia",Ogre,Maris Eglitis,Owner,+371 65117740,ogre.furniture.2@company.lv,875.0,612500,unknown
Ventspils Wood 3,"Ventspils, Latvia",Ventspils,Juris Eglitis,CEO,+371 67434898,ventspils.wood.3@company.lv,1104.25,772975,unknown
Liepaja Printing 4,"Liepaja, Latvia",Liepaja,Juris Zarins,Managing Director,+371 63419206,liepaja.printing.4@company.lv,2282.35,1597645,unknown
Jekabpils Paper 5,"Jekabpils, Latvia",Jekabpils,Janis Zarins,Owner,+371 66915117,jekabpils.paper.5@company.lv,934.15,653905,unknown
Valmiera Food 6,"Valmiera, Latvia",Valmiera,Peteris Eglitis,CEO,+371 68328023,valmiera.food.6@company.lv,1177.05,823935,unknown
Liepaja Paper 7,"Liepaja, Latvia",Liepaja,Aivars Kalns,Owner,+371 67513898,liepaja.paper.7@company.lv,875.0,612500,unknown
Liepaja Beverage 8,"Liepaja, Latvia",Liepaja,Peteris Jansons,Operations Manager,+371 63139138,liepaja.beverage.8@company.lv,875.0,612500,unknown
