Company,Address,City,Decision Maker,Title,Phone,Email,kW Capacity,Est Cost (EUR)
Riga Glass 44,"Riga, Latvia",Riga,Peteris Berzins,Operations Manager,+371 68687165,riga.glass.44@company.lv,875.0,612500
Ventspils Wood 45,"Ventspils, Latvia",Ventspils,Valdis Silins,CEO,+371 67552487,ventspils.wood.45@company.lv,875.0,612500
Jelgava Beverage 46,"Jelgava, Latvia",Jelgava,Andris Silins,Operations Manager,+371 67520343,jelgava.beverage.46@company.lv,875.0,612500
Liepaja Automotive 47,"Liepaja, Latvia",Liepaja,Peteris Ozols,Owner,+371 63811876,liepaja.automotive.47@company.lv,875.0,612500
Kekava Electronics 48,"Kekava, Latvia",Kekava,Andris Kalns,CEO,+371 65060087,kekava.electronics.48@company.lv,875.0,612500
Cesis Paper 49,"Cesis, Latvia",Cesis,Aivars Vitols,CEO,+371 65447503,cesis.paper.49@company.lv,2608.55,1825985
Daugavpils Construction 0,"Daugavpils, Latvia",Daugavpils,Andris Ozols,Owner,+371 66868299,daugavpils.construction.0@company.lv,875.0,612500
Ventspils Plastics 1,"Ventspils, Latvia",Ventspils,Andris Ozols,Operations Manager,+371 67496603,ventspils.plastics.1@company.lv,875.0,612500
Ogre Furniture 2,"Ogre, Latvia",Ogre,Maris Eglitis,Owner,+371 65117740,ogre.furniture.2@company.lv,875.0,612500
Ventspils Wood 3,"Ventspils, Latvia",Ventspils,Juris Eglitis,CEO,+371 67434898,ventspils.wood.3@company.lv,1104.25,772975
Liepaja Printing 4,"Liepaja, Latvia",Liepaja,Juris Zarins,Managing Director,+371 63419206,liepaja.printing.4@company.lv,2282.35,1597645
Jekabpils Paper 5,"Jekabpils, Latvia",Jekabpils,Janis Zarins,Owner,+371 66915117,jekabpils.paper.5@company.lv,934.15,653905
Valmiera Food 6,"Valmiera, Latvia",Valmiera,Peteris Eglitis,CEO,+371 68328023,valmiera.food.6@company.lv,1177.05,823935
Liepaja Paper 7,"Liepaja, Latvia",Liepaja,Aivars Kalns,Owner,+371 67513898,liepaja.paper.7@company.lv,875.0,612500
Liepaja Beverage 8,"Liepaja, Latvia",Liepaja,Peteris Jansons,Operations Manager,+371 63139138,liepaja.beverage.8@company.lv,875.0,612500
Daugavpils Electronics 9,"Daugavpils, Latvia",Daugavpils,Peteris Eglitis,Managing Director,+371 67260799,daugavpils.electronics.9@company.lv,875.0,612500
Riga Machinery 10,"Riga, Latvia",Riga,Valdis Zarins,CEO,+371 67072770,riga.machinery.10@company.lv,875.0,612500
Kekava Beverage 11,"Kekava, Latvia",Kekava,Aivars Vitols,CEO,+371 67671479,kekava.beverage.11@company.lv,1534.05,1073835
Riga Furniture 12,"Riga, Latvia",Riga,Valdis Kalns,Managing Director,+371 62856595,riga.furniture.12@company.lv,1057.35,740144
Ogre Furniture 13,"Ogre, Latvia",Ogre,Janis Kalns,CEO,+371 62339906,ogre.furniture.13@company.lv,1157.1,809969
Ventspils Metal 14,"Ventspils, Latvia",Ventspils,Andris Kalns,Managing Director,+371 67750075,ventspils.metal.14@company.lv,875.0,612500
Riga Food 15,"Riga, Latvia",Riga,Aivars Kalns,Managing Director,+371 66266708,riga.food.15@company.lv,875.0,612500
Kekava Construction 16,"Kekava, Latvia",Kekava,Andris Eglitis,Owner,+371 65947655,kekava.construction.16@company.lv,875.0,612500
Jekabpils Electronics 17,"Jekabpils, Latvia",Jekabpils,Andris Vitols,CEO,+371 67676571,jekabpils.electronics.17@company.lv,1741.25,1218875
Ventspils Wood 18,"Ventspils, Latvia",Ventspils,Valdis Jansons,Owner,+371 65580903,ventspils.wood.18@company.lv,875.0,612500
Cesis Printing 19,"Cesis, Latvia",Cesis,Valdis Silins,CEO,+371 62396620,cesis.printing.19@company.lv,1569.05,1098335
Ogre Beverage 20,"Ogre, Latvia",Ogre,Aivars Silins,Owner,+371 64745706,ogre.beverage.20@company.lv,875.0,612500
Riga Metal 21,"Riga, Latvia",Riga,Valdis Eglitis,Owner,+371 62936607,riga.metal.21@company.lv,875.0,612500
Ventspils Machinery 22,"Ventspils, Latvia",Ventspils,Janis Zarins,CEO,+371 64687003,ventspils.machinery.22@company.lv,1500.45,1050315
Cesis Plastics 23,"Cesis, Latvia",Cesis,Maris Eglitis,CEO,+371 67583234,cesis.plastics.23@company.lv,875.0,612500
Jekabpils Automotive 24,"Jekabpils, Latvia",Jekabpils,Maris Berzins,Managing Director,+371 63062590,jekabpils.automotive.24@company.lv,875.0,612500
Daugavpils Furniture 25,"Daugavpils, Latvia",Daugavpils,Valdis Jansons,Operations Manager,+371 65595082,daugavpils.furniture.25@company.lv,875.0,612500
Ogre Machinery 26,"Ogre, Latvia",Ogre,Janis Zarins,Managing Director,+371 64257944,ogre.machinery.26@company.lv,875.0,612500
Ventspils Chemical 27,"Ventspils, Latvia",Ventspils,Kaspars Vitols,Owner,+371 64902400,ventspils.chemical.27@company.lv,875.0,612500
Riga Textiles 28,"Riga, Latvia",Riga,Maris Berzins,Owner,+371 66684248,riga.textiles.28@company.lv,875.0,612500
Ventspils Glass 29,"Ventspils, Latvia",Ventspils,Andris Berzins,Operations Manager,+371 66323589,ventspils.glass.29@company.lv,875.0,612500
Riga Chemical 30,"Riga, Latvia",Riga,Aivars Silins,Operations Manager,+371 62537831,riga.chemical.30@company.lv,938.35,656845
Jelgava Chemical 31,"Jelgava, Latvia",Jelgava,Maris Kalns,CEO,+371 63920027,jelgava.chemical.31@company.lv,875.0,612500
Riga Food 32,"Riga, Latvia",Riga,Kaspars Silins,Operations Manager,+371 62981170,riga.food.32@company.lv,2363.9,1654730
Daugavpils Machinery 33,"Daugavpils, Latvia",Daugavpils,Aivars Ozols,CEO,+371 66275406,daugavpils.machinery.33@company.lv,875.0,612500
Cesis Printing 34,"Cesis, Latvia",Cesis,Aivars Ozols,Managing Director,+371 64157210,cesis.printing.34@company.lv,1436.4,1005480
Cesis Glass 35,"Cesis, Latvia",Cesis,Peteris Ozols,CEO,+371 63467266,cesis.glass.35@company.lv,923.3,646310
Ventspils Textiles 36,"Ventspils, Latvia",Ventspils,Maris Ozols,Owner,+371 65542099,ventspils.textiles.36@company.lv,875.0,612500
Ventspils Textiles 37,"Ventspils, Latvia",Ventspils,Valdis Silins,Operations Manager,+371 67994763,ventspils.textiles.37@company.lv,2571.8,1800260
Riga Paper 38,"Riga, Latvia",Riga,Janis Silins,Owner,+371 62787841,riga.paper.38@company.lv,875.0,612500
Jekabpils Metal 39,"Jekabpils, Latvia",Jekabpils,Juris Silins,Operations Manager,+371 68989449,jekabpils.metal.39@company.lv,2426.9,1698830
Ogre Construction 40,"Ogre, Latvia",Ogre,Kaspars Zarins,CEO,+371 62529384,ogre.construction.40@company.lv,2489.55,1742685
Jekabpils Glass 41,"Jekabpils, Latvia",Jekabpils,Kaspars Kalns,Owner,+371 62226182,jekabpils.glass.41@company.lv,875.0,612500
Ventspils Electronics 42,"Ventspils, Latvia",Ventspils,Valdis Silins,CEO,+371 62276570,ventspils.electronics.42@company.lv,875.0,612500
Ventspils Chemical 43,"Ventspils, Latvia",Ventspils,Maris Vitols,CEO,+371 67896587,ventspils.chemical.43@company.lv,875.0,612500
Cesis Construction 44,"Cesis, Latvia",Cesis,Juris Kalns,CEO,+371 67074851,cesis.construction.44@company.lv,875.0,612500
Ogre Wood 45,"Ogre, Latvia",Ogre,Valdis Zarins,Managing Director,+371 66482814,ogre.wood.45@company.lv,875.0,612500
Valmiera Textiles 46,"Valmiera, Latvia",Valmiera,Janis Eglitis,Managing Director,+371 63744744,valmiera.textiles.46@company.lv,875.0,612500
Liepaja Paper 47,"Liepaja, Latvia",Liepaja,Kaspars Jansons,Operations Manager,+371 66681792,liepaja.paper.47@company.lv,875.0,612500
Riga Metal 48,"Riga, Latvia",Riga,Maris Vitols,Managing Director,+371 63651597,riga.metal.48@company.lv,875.0,612500
Valmiera Electronics 49,"Valmiera, Latvia",Valmiera,Valdis Eglitis,CEO,+371 65993232,valmiera.electronics.49@company.lv,875.0,612500
Liepaja Printing 0,"Liepaja, Latvia",Liepaja,Valdis Eglitis,CEO,+371 65660433,liepaja.printing.0@company.lv,875.0,612500
Jelgava Textiles 1,"Jelgava, Latvia",Jelgava,Juris Ozols,Operations Manager,+371 65908988,jelgava.textiles.1@company.lv,875.0,612500
Jelgava Paper 2,"Jelgava, Latvia",Jelgava,Peteris Zarins,Operations Manager,+371 66749877,jelgava.paper.2@company.lv,875.0,612500
Liepaja Construction 3,"Liepaja, Latvia",Liepaja,Andris Jansons,Owner,+371 63350671,liepaja.construction.3@company.lv,1442.35,1009644
Daugavpils Wood 4,"Daugavpils, Latvia",Daugavpils,Aivars Eglitis,CEO,+371 67095220,daugavpils.wood.4@company.lv,875.0,612500
Daugavpils Food 5,"Daugavpils, Latvia",Daugavpils,Maris Vitols,Managing Director,+371 66364358,daugavpils.food.5@company.lv,1360.8,952560
Ventspils Paper 6,"Ventspils, Latvia",Ventspils,Maris Silins,Owner,+371 66892590,ventspils.paper.6@company.lv,875.0,612500
Liepaja Printing 7,"Liepaja, Latvia",Liepaja,Aivars Ozols,CEO,+371 65907327,liepaja.printing.7@company.lv,1239.7,867790
Riga Machinery 8,"Riga, Latvia",Riga,Andris Kalns,CEO,+371 67868710,riga.machinery.8@company.lv,875.0,612500
Liepaja Wood 9,"Liepaja, Latvia",Liepaja,Andris Kalns,CEO,+371 65489266,liepaja.wood.9@company.lv,2169.65,1518755
Riga Plastics 10,"Riga, Latvia",Riga,Andris Kalns,Operations Manager,+371 64250049,riga.plastics.10@company.lv,1341.55,939085
Liepaja Machinery 11,"Liepaja, Latvia",Liepaja,Maris Jansons,CEO,+371 63604485,liepaja.machinery.11@company.lv,875.0,612500
Ogre Textiles 12,"Ogre, Latvia",Ogre,Janis Vitols,Managing Director,+371 67126384,ogre.textiles.12@company.lv,875.0,612500
Valmiera Plastics 13,"Valmiera, Latvia",Valmiera,Valdis Berzins,Managing Director,+371 63329275,valmiera.plastics.13@company.lv,875.0,612500
Cesis Paper 14,"Cesis, Latvia",Cesis,Kaspars Kalns,CEO,+371 62331460,cesis.paper.14@company.lv,1143.1,800169
Riga Furniture 15,"Riga, Latvia",Riga,Peteris Jansons,Owner,+371 64914451,riga.furniture.15@company.lv,875.0,612500
Jelgava Wood 16,"Jelgava, Latvia",Jelgava,Maris Ozols,Managing Director,+371 65874123,jelgava.wood.16@company.lv,1437.45,1006215
Liepaja Furniture 17,"Liepaja, Latvia",Liepaja,Aivars Kalns,Owner,+371 66666261,liepaja.furniture.17@company.lv,2457.35,1720145
Riga Wood 18,"Riga, Latvia",Riga,Janis Jansons,Owner,+371 65476658,riga.wood.18@company.lv,875.0,612500
Daugavpils Metal 19,"Daugavpils, Latvia",Daugavpils,Andris Jansons,CEO,+371 63432998,daugavpils.metal.19@company.lv,1155.0,808500
Kekava Beverage 20,"Kekava, Latvia",Kekava,Valdis Kalns,CEO,+371 68189959,kekava.beverage.20@company.lv,875.0,612500
Riga Furniture 21,"Riga, Latvia",Riga,Aivars Berzins,Operations Manager,+371 64608129,riga.furniture.21@company.lv,875.0,612500
Jekabpils Chemical 22,"Jekabpils, Latvia",Jekabpils,Aivars Silins,Managing Director,+371 66777300,jekabpils.chemical.22@company.lv,875.0,612500
Valmiera Plastics 23,"Valmiera, Latvia",Valmiera,Andris Jansons,Managing Director,+371 64511240,valmiera.plastics.23@company.lv,875.0,612500
Ventspils Plastics 24,"Ventspils, Latvia",Ventspils,Valdis Kalns,Managing Director,+371 63332596,ventspils.plastics.24@company.lv,875.0,612500
Riga Automotive 25,"Riga, Latvia",Riga,Andris Jansons,Operations Manager,+371 68248312,riga.automotive.25@company.lv,875.0,612500
Kekava Paper 26,"Kekava, Latvia",Kekava,Peteris Ozols,CEO,+371 67269300,kekava.paper.26@company.lv,2004.1,1402870
Valmiera Food 27,"Valmiera, Latvia",Valmiera,Andris Berzins,Operations Manager,+371 68031507,valmiera.food.27@company.lv,1339.1,937369
Jelgava Construction 28,"Jelgava, Latvia",Jelgava,Aivars Jansons,Managing Director,+371 68651433,jelgava.construction.28@company.lv,875.0,612500
Kekava Food 29,"Kekava, Latvia",Kekava,Aivars Ozols,CEO,+371 64109729,kekava.food.29@company.lv,1443.75,1010625
Liepaja Glass 30,"Liepaja, Latvia",Liepaja,Juris Vitols,Managing Director,+371 63270628,liepaja.glass.30@company.lv,1616.3,1131410
Jelgava Machinery 31,"Jelgava, Latvia",Jelgava,Maris Jansons,Owner,+371 67537912,jelgava.machinery.31@company.lv,875.0,612500
Valmiera Plastics 32,"Valmiera, Latvia",Valmiera,Peteris Silins,CEO,+371 66095954,valmiera.plastics.32@company.lv,875.0,612500
Ogre Chemical 33,"Ogre, Latvia",Ogre,Peteris Kalns,Operations Manager,+371 64711174,ogre.chemical.33@company.lv,1941.8,1359260
Liepaja Glass 34,"Liepaja, Latvia",Liepaja,Peteris Silins,CEO,+371 62804012,liepaja.glass.34@company.lv,875.0,612500
Ogre Wood 35,"Ogre, Latvia",Ogre,Valdis Berzins,Managing Director,+371 64223535,ogre.wood.35@company.lv,875.0,612500
Cesis Furniture 36,"Cesis, Latvia",Cesis,Kaspars Kalns,Operations Manager,+371 68814421,cesis.furniture.36@company.lv,1522.15,1065505
Daugavpils Food 37,"Daugavpils, Latvia",Daugavpils,Valdis Vitols,Owner,+371 67843266,daugavpils.food.37@company.lv,969.15,678405
Cesis Automotive 38,"Cesis, Latvia",Cesis,Valdis Eglitis,CEO,+371 65126826,cesis.automotive.38@company.lv,875.0,612500
Jelgava Metal 39,"Jelgava, Latvia",Jelgava,Peteris Jansons,CEO,+371 67890277,jelgava.metal.39@company.lv,1647.1,1152970
Ogre Machinery 40,"Ogre, Latvia",Ogre,Juris Vitols,Owner,+371 62868195,ogre.machinery.40@company.lv,875.0,612500
Kekava Wood 41,"Kekava, Latvia",Kekava,Janis Zarins,CEO,+371 68995090,kekava.wood.41@company.lv,875.0,612500
Riga Construction 42,"Riga, Latvia",Riga,Valdis Eglitis,Operations Manager,+371 63263166,riga.construction.42@company.lv,875.0,612500
Ogre Furniture 43,"Ogre, Latvia",Ogre,Andris Jansons,Managing Director,+371 67441193,ogre.furniture.43@company.lv,951.65,666155
Ventspils Chemical 44,"Ventspils, Latvia",Ventspils,Kaspars Jansons,Operations Manager,+371 68340214,ventspils.chemical.44@company.lv,875.0,612500
Liepaja Paper 45,"Liepaja, Latvia",Liepaja,Andris Jansons,Operations Manager,+371 65119738,liepaja.paper.45@company.lv,875.0,612500
Jekabpils Paper 46,"Jekabpils, Latvia",Jekabpils,Aivars Kalns,CEO,+371 66806993,jekabpils.paper.46@company.lv,875.0,612500
Jekabpils Construction 47,"Jekabpils, Latvia",Jekabpils,Kaspars Silins,Operations Manager,+371 67765285,jekabpils.construction.47@company.lv,875.0,612500
Ventspils Machinery 48,"Ventspils, Latvia",Ventspils,Janis Jansons,Operations Manager,+371 63891268,ventspils.machinery.48@company.lv,875.0,612500
Cesis Electronics 49,"Cesis, Latvia",Cesis,Maris Kalns,CEO,+371 65731314,cesis.electronics.49@company.lv,875.0,612500
Jelgava Plastics 0,"Jelgava, Latvia",Jelgava,Kaspars Berzins,Operations Manager,+371 64825060,jelgava.plastics.0@company.lv,880.25,616175
Jekabpils Construction 1,"Jekabpils, Latvia",Jekabpils,Valdis Berzins,Managing Director,+371 62191704,jekabpils.construction.1@company.lv,875.0,612500
Riga Automotive 2,"Riga, Latvia",Riga,Juris Kalns,CEO,+371 63529586,riga.automotive.2@company.lv,875.0,612500
Kekava Wood 3,"Kekava, Latvia",Kekava,Valdis Kalns,Managing Director,+371 64029648,kekava.wood.3@company.lv,1856.4,1299480
Riga Plastics 4,"Riga, Latvia",Riga,Andris Kalns,CEO,+371 68570195,riga.plastics.4@company.lv,875.0,612500
Kekava Electronics 5,"Kekava, Latvia",Kekava,Aivars Eglitis,Owner,+371 65201723,kekava.electronics.5@company.lv,1237.95,866565
Jekabpils Automotive 6,"Jekabpils, Latvia",Jekabpils,Aivars Vitols,CEO,+371 68658186,jekabpils.automotive.6@company.lv,875.0,612500
Daugavpils Glass 7,"Daugavpils, Latvia",Daugavpils,Andris Ozols,Managing Director,+371 68212448,daugavpils.glass.7@company.lv,2389.1,1672370
Liepaja Construction 8,"Liepaja, Latvia",Liepaja,Valdis Vitols,Owner,+371 65073896,liepaja.construction.8@company.lv,875.0,612500
Ventspils Machinery 9,"Ventspils, Latvia",Ventspils,Andris Silins,CEO,+371 68422918,ventspils.machinery.9@company.lv,875.0,612500
Cesis Construction 10,"Cesis, Latvia",Cesis,Valdis Eglitis,Owner,+371 62464536,cesis.construction.10@company.lv,875.0,612500
Kekava Chemical 11,"Kekava, Latvia",Kekava,Maris Kalns,Operations Manager,+371 68446370,kekava.chemical.11@company.lv,875.0,612500
Cesis Chemical 12,"Cesis, Latvia",Cesis,Aivars Jansons,Owner,+371 66341903,cesis.chemical.12@company.lv,875.0,612500
Ogre Printing 13,"Ogre, Latvia",Ogre,Valdis Berzins,CEO,+371 63101116,ogre.printing.13@company.lv,875.0,612500
Liepaja Construction 14,"Liepaja, Latvia",Liepaja,Maris Jansons,Owner,+371 67776462,liepaja.construction.14@company.lv,875.0,612500
Liepaja Metal 15,"Liepaja, Latvia",Liepaja,Peteris Ozols,Operations Manager,+371 66509113,liepaja.metal.15@company.lv,875.0,612500
Liepaja Automotive 16,"Liepaja, Latvia",Liepaja,Valdis Vitols,Managing Director,+371 64720342,liepaja.automotive.16@company.lv,875.0,612500
Cesis Beverage 17,"Cesis, Latvia",Cesis,Aivars Jansons,Managing Director,+371 68933535,cesis.beverage.17@company.lv,2242.8,1569960
Ventspils Automotive 18,"Ventspils, Latvia",Ventspils,Maris Berzins,Managing Director,+371 67253932,ventspils.automotive.18@company.lv,1475.25,1032675
Valmiera Beverage 19,"Valmiera, Latvia",Valmiera,Juris Vitols,Operations Manager,+371 64406997,valmiera.beverage.19@company.lv,875.0,612500
Liepaja Wood 20,"Liepaja, Latvia",Liepaja,Andris Silins,CEO,+371 63060208,liepaja.wood.20@company.lv,875.0,612500
Cesis Glass 21,"Cesis, Latvia",Cesis,Maris Kalns,Owner,+371 65121545,cesis.glass.21@company.lv,1518.65,1063055
Valmiera Paper 22,"Valmiera, Latvia",Valmiera,Maris Zarins,Owner,+371 67175285,valmiera.paper.22@company.lv,875.0,612500
Ogre Textiles 23,"Ogre, Latvia",Ogre,Valdis Berzins,Owner,+371 65103304,ogre.textiles.23@company.lv,875.0,612500
Valmiera Chemical 24,"Valmiera, Latvia",Valmiera,Janis Silins,CEO,+371 67500653,valmiera.chemical.24@company.lv,1198.4,838880
Riga Automotive 25,"Riga, Latvia",Riga,Peteris Kalns,Managing Director,+371 68908318,riga.automotive.25@company.lv,875.0,612500
Valmiera Machinery 26,"Valmiera, Latvia",Valmiera,Juris Silins,Managing Director,+371 65714531,valmiera.machinery.26@company.lv,1445.15,1011605
Cesis Printing 27,"Cesis, Latvia",Cesis,Juris Jansons,CEO,+371 64363006,cesis.printing.27@company.lv,875.0,612500
Ogre Electronics 28,"Ogre, Latvia",Ogre,Valdis Vitols,Operations Manager,+371 65096293,ogre.electronics.28@company.lv,1440.95,1008665
Jekabpils Printing 29,"Jekabpils, Latvia",Jekabpils,Kaspars Kalns,Operations Manager,+371 66169709,jekabpils.printing.29@company.lv,2625.0,1837500
Valmiera Paper 30,"Valmiera, Latvia",Valmiera,Peteris Kalns,Managing Director,+371 67366669,valmiera.paper.30@company.lv,875.0,612500
Jekabpils Textiles 31,"Jekabpils, Latvia",Jekabpils,Aivars Berzins,CEO,+371 65299886,jekabpils.textiles.31@company.lv,875.0,612500
Liepaja Electronics 32,"Liepaja, Latvia",Liepaja,Valdis Jansons,Managing Director,+371 64755986,liepaja.electronics.32@company.lv,875.0,612500
Liepaja Furniture 33,"Liepaja, Latvia",Liepaja,Janis Jansons,Managing Director,+371 63435763,liepaja.furniture.33@company.lv,875.0,612500
Liepaja Metal 34,"Liepaja, Latvia",Liepaja,Andris Vitols,Managing Director,+371 65652481,liepaja.metal.34@company.lv,875.0,612500
Valmiera Food 35,"Valmiera, Latvia",Valmiera,Andris Silins,Operations Manager,+371 68280292,valmiera.food.35@company.lv,2460.5,1722350
Riga Construction 36,"Riga, Latvia",Riga,Maris Berzins,Owner,+371 68197125,riga.construction.36@company.lv,875.0,612500
Jelgava Plastics 37,"Jelgava, Latvia",Jelgava,Maris Kalns,Managing Director,+371 62450690,jelgava.plastics.37@company.lv,875.0,612500
Jekabpils Metal 38,"Jekabpils, Latvia",Jekabpils,Valdis Zarins,CEO,+371 63709369,jekabpils.metal.38@company.lv,875.0,612500
Jekabpils Chemical 39,"Jekabpils, Latvia",Jekabpils,Aivars Silins,Owner,+371 66509425,jekabpils.chemical.39@company.lv,875.0,612500
Ogre Beverage 40,"Ogre, Latvia",Ogre,Juris Silins,Managing Director,+371 66832615,ogre.beverage.40@company.lv,875.0,612500
Liepaja Metal 41,"Liepaja, Latvia",Liepaja,Aivars Kalns,CEO,+371 63891269,liepaja.metal.41@company.lv,875.0,612500
Valmiera Printing 42,"Valmiera, Latvia",Valmiera,Kaspars Berzins,Managing Director,+371 68366049,valmiera.printing.42@company.lv,875.0,612500
Jelgava Construction 43,"Jelgava, Latvia",Jelgava,Aivars Zarins,Operations Manager,+371 68557723,jelgava.construction.43@company.lv,875.0,612500
Liepaja Metal 44,"Liepaja, Latvia",Liepaja,Peteris Berzins,Operations Manager,+371 62154598,liepaja.metal.44@company.lv,2451.75,1716225
Daugavpils Plastics 45,"Daugavpils, Latvia",Daugavpils,Janis Silins,Owner,+371 63373347,daugavpils.plastics.45@company.lv,875.0,612500
Jelgava Beverage 46,"Jelgava, Latvia",Jelgava,Peteris Kalns,CEO,+371 67430910,jelgava.beverage.46@company.lv,875.0,612500
Liepaja Printing 47,"Liepaja, Latvia",Liepaja,Maris Vitols,Managing Director,+371 63591564,liepaja.printing.47@company.lv,875.0,612500
Valmiera Construction 48,"Valmiera, Latvia",Valmiera,Maris Eglitis,Owner,+371 62304074,valmiera.construction.48@company.lv,875.0,612500
Liepaja Electronics 49,"Liepaja, Latvia",Liepaja,Peteris Jansons,Operations Manager,+371 64764728,liepaja.electronics.49@company.lv,875.0,612500
